Date,Open,Close,High,Low,Volume
26-Jul-17,153.350006,153.460007,153.929993,153.059998,15781000
27-Jul-17,153.75,150.559998,153.990005,147.300003,32476300
28-Jul-17,149.889999,149.5,150.229996,149.190002,17213700
31-Jul-17,149.899994,148.729996,150.330002,148.130005,19845900
1-Aug-17,149.100006,150.050003,150.220001,148.410004,35368600
2-Aug-17,159.279999,157.139999,159.75,156.160004,69936800
3-Aug-17,157.050003,155.570007,157.210007,155.020004,27097300
4-Aug-17,156.070007,156.389999,157.399994,155.690002,20559900
7-Aug-17,157.059998,158.809998,158.919998,156.669998,21870300
8-Aug-17,158.600006,160.080002,161.830002,158.270004,36205900
9-Aug-17,159.259995,161.059998,161.270004,159.110001,26131500
10-Aug-17,159.899994,155.320007,160,154.630005,40804300
11-Aug-17,156.600006,157.479996,158.570007,156.070007,26257100
14-Aug-17,159.320007,159.850006,160.210007,158.75,22122700
15-Aug-17,160.660004,161.600006,162.199997,160.139999,29465500
16-Aug-17,161.940002,160.949997,162.509995,160.149994,27671600
17-Aug-17,160.520004,157.860001,160.710007,157.839996,27940600
18-Aug-17,157.860001,157.5,159.5,156.720001,27428100
21-Aug-17,157.5,157.210007,157.889999,155.110001,26368500
22-Aug-17,158.229996,159.779999,160,158.020004,21604600
23-Aug-17,159.070007,159.979996,160.470001,158.880005,19399100
24-Aug-17,160.429993,159.270004,160.740005,158.550003,19818900
25-Aug-17,159.649994,159.860001,160.559998,159.270004,25480100
28-Aug-17,160.139999,161.470001,162,159.929993,25966000
29-Aug-17,160.100006,162.910004,163.119995,160,29516900
30-Aug-17,163.800003,163.350006,163.889999,162.610001,27269600
31-Aug-17,163.639999,164,164.520004,163.479996,26785100
1-Sep-17,164.800003,164.050003,164.940002,163.630005,16591100
5-Sep-17,163.75,162.080002,164.25,160.559998,29468500
6-Sep-17,162.710007,161.910004,162.990005,160.520004,21651700
7-Sep-17,162.089996,161.259995,162.240005,160.360001,21928500
8-Sep-17,160.860001,158.630005,161.149994,158.529999,28611500
11-Sep-17,160.5,161.5,162.050003,159.889999,31580800
12-Sep-17,162.610001,160.860001,163.960007,158.770004,71714000
13-Sep-17,159.869995,159.649994,159.960007,157.910004,44907400
14-Sep-17,158.990005,158.279999,159.399994,158.089996,23760700
15-Sep-17,158.470001,159.880005,160.970001,158,49114600
18-Sep-17,160.110001,158.669998,160.5,158,28269400
19-Sep-17,159.509995,158.729996,159.770004,158.440002,20810600
20-Sep-17,157.899994,156.070007,158.259995,153.830002,52951400
